x,y,z,aream2,_CLASE
-86.95700069,20.73186624,-1.1,69.839902,Corals
-86.95596333,20.73197441,-4.1,69.839179,Corals
-86.95649804,20.73182055,-2.6,838.074668,Corals
-86.95705183,20.73212227,-0.8,157.139813,Corals
-86.95597424,20.73218739,MISS,122.218534,Corals
-86.95784291,20.73232095,-0.7,349.202201,Corals
-86.95595936,20.73239367,-4.1,174.59785,Corals
-86.95630897,20.73244436,-2.6,69.839377,Corals
-86.95620661,20.7331171,-2.1,384.115847,Corals
-86.95526392,20.73325331,-5,157.13682,Corals
-86.95667366,20.73349262,-0.8,104.759308,Corals
-86.9549639,20.73370603,-5.3,104.757516,Corals
-86.95446443,20.73374506,-5.8,69.837998,Corals
-86.95554444,20.73307917,-4.3,8153.682801,Corals
-86.95737951,20.733922,-2.4,139.679965,Corals
-86.95518476,20.73390941,-4.6,209.515457,Corals
-86.95557615,20.73397501,-3.8,419.032498,Corals
-86.95644631,20.73381972,-1,5702.383877,Corals
-86.95531464,20.73414126,-4.6,296.813849,Corals
-86.95408057,20.7343238,-7.5,67.501125,Corals
-86.95442971,20.73436071,-5.9,646.000796,Corals
-86.95752793,20.73025797,-3,226.981229,S&B
-86.95808005,20.73041172,-0.7,157.141713,S&B
-86.95756364,20.73049679,-2.3,122.22071,S&B
-86.95865279,20.7305727,-0.6,109.488957,S&B
-86.96021536,20.73023531,-0.8,2165.110319,S&B
-86.95730835,20.730782,-2.4,69.840205,S&B
-86.95904203,20.73079598,-0.6,69.841395,S&B
-86.95821688,20.73093894,-0.3,4186.713018,S&B
-86.95565606,20.73164903,-5.9,69.838997,S&B
-86.95577128,20.73177557,-5.5,104.758595,S&B
-86.95772744,20.73193569,-0.6,261.901475,S&B
-86.95834735,20.73205,-1,1501.576915,S&B
-86.9576764,20.73230012,-0.6,384.121825,S&B
-86.95545729,20.73257668,-5.2,209.516365,S&B
-86.95517934,20.73273322,-5.7,174.59643,S&B
